WORK_ORDER,TLA,CARTON_NO,PALLET_NO,CONTAINER_NO,SKU,MLB_PCBA,FATP_SN,NFC_UID,STM32_UUID,METAL_BASE,FF_TRACKING_NUMBER,SHIPPING_DATE,FATP_INPUT_DATETIME,ME_LINE_OUT_DATETIME,OQC_LINE_OUTPUT_DATETIME
BH-104282,88-0000861,HC4420012,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA234,FK2436HCOS1AA234,04591af2a11390000000,006600425830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 08:06:14,2024-10-12 09:44:03,2024-10-16 18:31:22
BH-104282,88-0000861,HC4410001,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA312,FK2436HCOS1AA312,0420537ab91690000000,0035003F5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 13:04:53,2024-10-12 10:05:04,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA311,FK2436HCOS1AA311,0420407ab91690000000,004500455830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 09:45:36,2024-10-12 12:34:35,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA302,FK2436HCOS1AA302,0420657ab91690000000,001F003F5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 09:24:39,2024-10-12 09:23:45,2024-10-16 18:31:22
BH-104282,88-0000861,HC4410001,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA303,FK2436HCOS1AA303,0420597ab91690000000,002B003F5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 09:24:36,2024-10-12 12:26:47,2024-10-16 18:31:22
BH-104282,88-0000861,HC4410001,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA297,FK2436HCOS1AA297,045a6df2a11390000000,0064003F5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 15:22:10,2024-10-12 09:47:51,2024-10-16 18:31:22
BH-104282,88-0000861,HC4410001,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA294,FK2436HCOS1AA294,047e2af2a11390000000,002B003D5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 17:31:20,2024-10-11 14:14:04,2024-10-16 18:31:22
BH-104282,88-0000861,HC4410001,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA293,FK2436HCOS1AA293,045a61f2a11390000000,006A003E5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 08:53:07,2024-10-12 09:40:29,2024-10-16 18:31:22
BH-104282,88-0000861,HC4410001,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA284,FK2436HCOS1AA284,0420a87ab91690000000,002000405830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 08:05:59,2024-10-12 10:07:27,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420012,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA283,FK2436HCOS1AA283,0420ae7ab91690000000,006D003E5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 08:53:03,2024-10-12 12:50:16,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA282,FK2436HCOS1AA282,0420a27ab91690000000,0069003E5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 08:06:24,2024-10-12 09:27:54,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA272,FK2436HCOS1AA272,047e3ef2a11390000000,0022003E5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 09:24:27,2024-10-12 09:35:35,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420014,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA271,FK2436HCOS1AA271,047e44f2a11390000000,0026003E5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 15:21:53,2024-10-15 17:42:43,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA270,FK2436HCOS1AA270,045a8bf2a11390000000,001F003D5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 09:45:34,2024-10-12 12:36:50,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA265,FK2436HCOS1AA265,045993f2a11390000000,005100435830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 08:05:45,2024-10-12 10:52:34,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420012,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA264,FK2436HCOS1AA264,045142f2a11390000000,003D00435830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 09:24:29,2024-10-12 12:51:58,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA258,FK2436HCOS1AA258,044042f2a11390000000,003600425830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 09:24:32,2024-10-12 10:50:46,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420012,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA254,FK2436HCOS1AA254,0459a5f2a11390000000,002F003D5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 14:48:08,2024-10-12 10:21:46,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420012,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA253,FK2436HCOS1AA253,04514ff2a11390000000,004D00435830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 14:48:03,2024-10-12 10:37:17,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420012,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA252,FK2436HCOS1AA252,045999f2a11390000000,006600435830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 09:24:35,2024-10-12 10:28:55,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA250,FK2436HCOS1AA250,04515bf2a11390000000,005D00435830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 15:22:00,2024-10-12 09:17:42,2024-10-16 18:31:22
BH-104282,88-0000861,HC4410001,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA141,FK2436HCOS1AA141,041858f2a11390000000,006C003E5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 15:22:09,2024-10-11 13:56:47,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420012,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA134,FK2436HCOS1AA134,04b7a77ab91690000000,001900425830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 17:31:37,2024-10-11 14:28:24,2024-10-16 18:31:22
BH-104282,88-0000861,HC4410001,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA137,FK2436HCOS1AA137,04b7b07ab91690000000,0047003F5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 14:47:57,2024-10-12 16:26:02,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA176,FK2436HCOS1AA176,045951f2a11390000000,005800425830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 08:39:49,2024-10-12 09:25:44,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420012,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA184,FK2436HCOS1AA184,044030f2a11390000000,003A00425830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-09-27 08:10:13,2024-10-12 10:27:12,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA185,FK2436HCOS1AA185,04402af2a11390000000,003100425830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-09-27 08:07:25,2024-10-11 14:18:23,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA186,FK2436HCOS1AA186,04594bf2a11390000000,005600425830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 09:45:39,2024-10-12 12:44:45,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420012,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA170,FK2436HCOS1AA170,0459c3f2a11390000000,0035003D5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 09:45:38,2024-10-12 10:34:25,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA220,FK2436HCOS1AA220,04517af2a11390000000,006800435830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 09:24:28,2024-10-12 11:12:25,2024-10-16 18:31:22
BH-104282,88-0000861,HC4410001,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA167,FK2436HCOS1AA167,047e50f2a11390000000,003C003E5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 08:39:47,2024-10-12 10:45:01,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA164,FK2436HCOS1AA164,047e12f2a11390000000,0050003F5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-09-27 08:07:32,2024-10-11 14:46:24,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420012,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA163,FK2436HCOS1AA163,045a54f2a11390000000,0066003E5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-09-27 08:10:30,2024-10-11 14:20:16,2024-10-16 18:31:22
BH-104282,88-0000861,HC4410001,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA161,FK2436HCOS1AA161,047e37f2a11390000000,003E003E5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 08:39:55,2024-10-12 09:42:19,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420012,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA158,FK2436HCOS1AA158,045a7ff2a11390000000,0058003E5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 08:39:51,2024-10-12 10:09:22,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420012,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA212,FK2436HCOS1AA212,045198f2a11390000000,005500435830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 14:47:54,2024-10-12 10:11:29,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420012,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA213,FK2436HCOS1AA213,045192f2a11390000000,005700435830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 08:52:57,2024-10-12 10:19:47,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420012,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA218,FK2436HCOS1AA218,0459c9f2a11390000000,003900435830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-09-27 08:10:35,2024-10-11 14:07:13,2024-10-16 18:31:22
BH-104282,88-0000861,HC4410001,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA219,FK2436HCOS1AA219,045acaf2a11390000000,004500435830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 08:39:53,2024-10-12 09:53:01,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420012,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA194,FK2436HCOS1AA194,04516ef2a11390000000,0031003D5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 17:31:19,2024-10-11 13:45:22,2024-10-16 18:31:22
BH-104282,88-0000861,HC4410001,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA021,FK2436HCOS1AA021,043cb57ab91690000000,0044003D5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 08:40:00,2024-10-12 09:45:58,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420012,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA015,FK2436HCOS1AA015,043cbb7ab91690000000,0046003D5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 13:05:07,2024-10-12 16:31:17,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA042,FK2436HCOS1AA042,04be317ab91690000000,005E003C5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-09-27 08:10:11,2024-10-11 14:48:40,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420012,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA045,FK2436HCOS1AA045,043c977ab91690000000,003A003C5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-09-27 08:10:27,2024-10-11 14:39:29,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA041,FK2436HCOS1AA041,04bf387ab91690000000,004E003C5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 13:05:03,2024-10-11 14:44:46,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA035,FK2436HCOS1AA035,04c76d7ab91690000000,003C00435830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 13:04:59,2024-10-11 14:50:52,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420012,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA037,FK2436HCOS1AA037,04c75b7ab91690000000,006F00435830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 17:31:35,2024-10-12 10:17:13,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420012,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA031,FK2436HCOS1AA031,043b927ab91690000000,0064003C5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 14:47:43,2024-10-12 12:39:29,2024-10-16 18:31:22
BH-104282,88-0000861,HC4410001,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA033,FK2436HCOS1AA033,04be627ab91690000000,006D003D5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 14:47:52,2024-10-12 09:54:40,2024-10-16 18:31:22
BH-104282,88-0000861,HC4410001,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA032,FK2436HCOS1AA032,043b987ab91690000000,0062003D5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 14:47:47,2024-10-12 09:51:18,2024-10-16 18:31:22
BH-104282,88-0000861,HC4410001,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA060,FK2436HCOS1AA060,041852f2a11390000000,006300455830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 17:31:22,2024-10-11 13:54:53,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA061,FK2436HCOS1AA061,04409af2a11390000000,006700455830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 08:53:02,2024-10-11 14:41:06,2024-10-16 18:31:22
BH-104282,88-0000861,HC4410001,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA058,FK2436HCOS1AA058,042775f2a11390000000,003300425830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 17:31:14,2024-10-11 13:59:03,2024-10-16 18:31:22
BH-104282,88-0000861,HC4410001,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA054,FK2436HCOS1AA054,045da37ab91690000000,002B00425830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 17:31:16,2024-10-11 13:46:47,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420014,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA055,FK2436HCOS1AA055,045d9c7ab91690000000,002700425830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 10:22:58,2024-10-12 10:39:17,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA053,FK2436HCOS1AA053,044087f2a11390000000,002500415830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 08:52:59,2024-10-12 09:21:56,2024-10-16 18:31:22
BH-104282,88-0000861,HC4410001,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA049,FK2436HCOS1AA049,04406ef2a11390000000,002500425830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 08:06:19,2024-10-12 10:01:19,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA077,FK2436HCOS1AA077,04c2377ab91690000000,006D00455830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 09:45:32,2024-10-12 09:20:03,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420012,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA074,FK2436HCOS1AA074,04c23d7ab91690000000,006100445830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-09-27 08:02:54,2024-10-11 14:23:36,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA089,FK2436HCOS1AA089,045d497ab91690000000,003D00445830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 08:53:05,2024-10-12 09:15:32,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA109,FK2436HCOS1AA109,045d2b7ab91690000000,003400445830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 09:24:41,2024-10-12 09:29:48,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA104,FK2436HCOS1AA104,045d437ab91690000000,002200445830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 09:45:37,2024-10-12 09:33:29,2024-10-16 18:31:22
BH-104282,88-0000861,HC4410001,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA097,FK2436HCOS1AA097,04c1867ab91690000000,003E00435830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 10:22:53,2024-10-12 16:27:42,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420012,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA119,FK2436HCOS1AA119,045d0c7ab91690000000,005000435830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 10:22:47,2024-10-12 16:29:26,2024-10-16 18:31:22
BH-104282,88-0000861,HC4410001,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA120,FK2436HCOS1AA120,045d067ab91690000000,005200435830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 10:22:38,2024-10-12 09:58:59,2024-10-16 18:31:22
BH-104282,88-0000861,HC4410001,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA115,FK2436HCOS1AA115,045d137ab91690000000,003100445830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 09:45:23,2024-10-12 10:46:48,2024-10-16 18:31:22
BH-104282,88-0000861,HC4410001,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA116,FK2436HCOS1AA116,04c15c7ab91690000000,002A00435830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 09:45:35,2024-10-12 12:29:29,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420012,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA113,FK2436HCOS1AA113,045d257ab91690000000,002000435830501720343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 13:05:12,2024-10-12 10:15:23,2024-10-16 18:31:22
BH-104282,88-0000861,HC4410001,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA146,FK2436HCOS1AA146,04b7877ab91690000000,004D003F5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 09:24:24,2024-10-11 13:50:59,2024-10-16 18:31:22
BH-104282,88-0000861,HC4420011,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA147,FK2436HCOS1AA147,04b77b7ab91690000000,0067003F5830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 08:05:56,2024-10-12 09:11:13,2024-10-16 18:31:22
BH-104282,88-0000861,HC4410001,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA148,FK2436HCOS1AA148,04b76f7ab91690000000,002200425830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 10:22:51,2024-10-12 12:32:27,2024-10-16 18:31:22
BH-104282,88-0000861,HC4410001,PHC4420018,FEDEX#746390181817,COSMO,FK2436HCOS1AA144,FK2436HCOS1AA144,04b7447ab91690000000,005700415830501620343353,NA,FEDEX#746390181817,2024-10-17 09:55:05,2024-10-05 08:05:50,2024-10-11 13:52:45,2024-10-16 18:31:22
